,1. open,2. high,3. low,4. close,5. volume
2022-06-14,6.7900,7.9500,6.6000,7.8800,78000
2022-06-13,6.0700,6.4400,5.8000,6.3900,24912
2022-06-10,6.9800,7.0000,6.4000,6.6900,19693
2022-06-09,7.7200,7.7200,7.0400,7.1200,22069
2022-06-08,7.6500,8.5100,7.3600,7.7500,51807
2022-06-07,8.0900,8.9250,8.0900,8.2900,41093
2022-06-06,8.1900,8.4700,7.5200,8.1600,28548
2022-06-03,7.3700,8.3900,7.3550,8.0900,101536
2022-06-02,7.4950,7.7700,7.2900,7.4300,48846
2022-06-01,7.7200,7.9600,7.4000,7.7500,41190
2022-05-31,8.3100,8.4000,7.5800,7.6500,47732
2022-05-27,7.9700,8.6400,7.5900,8.2700,52561
2022-05-26,6.5600,8.8420,6.3774,8.0000,63711
2022-05-25,7.9000,7.9800,6.8400,6.8800,52183
2022-05-24,8.4600,8.4600,7.2900,7.7400,33240
2022-05-23,9.8000,9.8000,8.1100,8.4000,39774
2022-05-20,9.0300,9.7578,8.6300,9.5500,48575
2022-05-19,9.4800,9.7200,8.7501,8.9300,53808
2022-05-18,10.5000,10.9600,9.5500,9.6000,36041
2022-05-17,10.5500,10.9800,9.7300,10.6300,31343
2022-05-16,12.5700,12.6050,10.4800,10.5900,40086
2022-05-13,12.6600,14.8500,11.3900,12.8600,50375
2022-05-12,12.7700,13.5699,10.6850,12.6900,69042
2022-05-11,10.4000,12.3800,9.8000,12.1600,42504
2022-05-10,9.7200,10.5500,8.5100,10.3900,32895
2022-05-09,9.7800,9.7800,9.2400,9.4500,16272
2022-05-06,10.4000,11.3800,9.8801,10.0000,23713
2022-05-05,11.1900,11.3200,10.0200,11.0300,31486
2022-05-04,11.0500,11.3200,10.9500,11.3200,37481
2022-05-03,11.4000,11.4800,11.0200,11.1600,24432
2022-05-02,11.3300,11.7400,10.8700,11.2700,39371
2022-04-29,11.7050,11.7050,11.2200,11.2300,8993
2022-04-28,11.9100,12.1900,11.0600,11.7000,16329
2022-04-27,11.8000,12.2400,11.4400,11.8600,14101
2022-04-26,13.5500,13.5500,11.6100,11.8000,16808
2022-04-25,12.8600,13.0400,12.3000,12.5300,32205
2022-04-22,15.1900,15.3000,12.9300,13.1500,33961
2022-04-21,15.4400,15.5000,14.5800,14.6300,21470
2022-04-20,16.0200,16.1000,15.1000,15.1900,24487
2022-04-19,14.9600,16.1500,13.4700,15.8200,27416
2022-04-18,15.6000,15.6900,14.3500,14.8500,15632
2022-04-14,16.1500,16.7100,15.6400,15.7400,29783
2022-04-13,15.9700,16.9600,15.0700,16.2400,40883
2022-04-12,14.6800,17.1300,14.6300,16.0800,133307
2022-04-11,13.0600,14.4500,12.5690,14.0400,33705
2022-04-08,13.1500,13.4200,12.6500,13.3500,13662
2022-04-07,13.4300,13.5000,12.6350,13.1200,23966
2022-04-06,13.2500,13.7200,12.8900,13.4400,14744
2022-04-05,13.4500,13.6400,13.1500,13.3400,14333
2022-04-04,14.6200,14.8400,14.3100,14.4200,12415
2022-04-01,13.6700,14.8200,13.4700,14.4600,36537
2022-03-31,14.3500,15.0000,13.6100,13.8100,19063
2022-03-30,14.0500,15.0000,14.0500,14.6600,45467
2022-03-29,12.9600,14.3200,12.9000,14.1000,39906
2022-03-28,13.4100,13.5400,12.3500,12.7900,40952
2022-03-25,13.6800,14.4500,13.2500,13.3000,16277
2022-03-24,13.4400,14.0900,13.0000,13.7400,27493
2022-03-23,14.4000,14.5000,13.4300,13.5300,54769
2022-03-22,14.6300,15.5800,13.7800,14.6200,31263
2022-03-21,16.4000,17.6000,14.4900,14.6300,32676
